Accession,Species,Genus,Family
NC_001265.2,Alphacarmovirus dianthi,Alphacarmovirus,Tombusviridae
NC_030882.1,Fusarium poae virus 1,Betapartitivirus,Partitiviridae
NC_040438.1,Chicken picobirnavirus,Picobirnavirus,Picobirnaviridae
NC_016964.1,Mischivirus D,Mischivirus,Picornaviridae
NC_055453.1,Alphabaculovirus hytalacae,Alphabaculovirus,Baculoviridae
NC_015220.1,Grapevine berry inner necrosis virus,Trichovirus,Betaflexiviridae
NC_048119.1,Phimunavirus phoria,Phimunavirus,Autographiviridae
NC_007966.1,Merremia mosaic virus,Begomovirus,Geminiviridae
NC_001785.1,Papaya ringspot virus,Potyvirus,Potyviridae
NC_044853.1,Norwalk virus,Norovirus,Caliciviridae
NC_001809.1,Orthoflavivirus loupingi,Orthoflavivirus,Flaviviridae
NC_040460.1,Orthonairovirus avalonense,Orthonairovirus,Nairoviridae
NC_018714.1,Apple green crinkle associated virus,Foveavirus,Betaflexiviridae
NC_018935.1,Tobacco leaf chlorosis betasatellite,Betasatellite,Tolecusatellitidae
NC_043064.1,Cytorhabdovirus fragariarugosus,Cytorhabdovirus,Rhabdoviridae
NC_028943.1,Peduovirus pro483,Peduovirus,Peduoviridae
NC_047721.1,Kayvirus G1,Kayvirus,Herelleviridae
NC_008002.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_001463.1,Caprine arthritis encephalitis virus,Lentivirus,Retroviridae
NC_078253.1,Orthonairovirus bandiaense,Orthonairovirus,Nairoviridae
NC_055637.1,Orthohantavirus tatenalense,Orthohantavirus,Hantaviridae
NC_038427.1,Hepacivirus myodae,Hepacivirus,Flaviviridae
NC_001492.1,Alphahypovirus cryphonectriae,Alphahypovirus,Hypoviridae
NC_035887.1,Tobacco leaf curl Cuba virus,Begomovirus,Geminiviridae
NC_055624.1,Betachrysovirus coniothyrii,Betachrysovirus,Chrysoviridae
NC_049501.1,Kuttervirus allotria,Kuttervirus,Ackermannviridae
NC_038965.1,Tomato chlorotic mottle Guyane virus,Begomovirus,Geminiviridae
NC_014380.1,Melon chlorotic mosaic virus,Begomovirus,Geminiviridae
NC_002187.1,Betacarmovirus iridis,Betacarmovirus,Tombusviridae
NC_007017.2,Pelarspovirus lineapelargonii,Pelarspovirus,Tombusviridae
NC_028983.1,Siminovitchvirus shanette,Siminovitchvirus,Herelleviridae
NC_074280.1,Brikhyavirus terrivicinum,Brikhyavirus,Steitzviridae
NC_055619.1,Sophora yellow stunt virus,Nanovirus,Nanoviridae
