Species,Genus,Family
Pigeon aviadenovirus B,Aviadenovirus,Adenoviridae
Krischvirus ecd7,Krischvirus,Straboviridae
Beet mild yellowing virus,Polerovirus,Solemoviridae
Copernicusvirus Ef72,Copernicusvirus,Rountreeviridae
Vesicular exanthema of swine virus,Vesivirus,Caliciviridae
Macroptilium yellow vein virus,Begomovirus,Geminiviridae
Gemycircularvirus ptero3,Gemycircularvirus,Genomoviridae
Bat sapelovirus,Sapelovirus,Picornaviridae
Streptococcus phage 128,Moineauvirus,Aliceevansviridae
Tomato yellow leaf curl Kanchanaburi virus,Begomovirus,Geminiviridae
Acartia tonsa copepod circovirus,Circovirus,Circoviridae
Pediavirus cirripedis,Pediavirus,Chuviridae
Porcine astrovirus 3,Mamastrovirus,Astroviridae
Rhizoulivirus gammarhizoctoniae,Rhizoulivirus,Botourmiaviridae
Orthohantavirus oxbowense,Orthohantavirus,Hantaviridae
Arsyunavirus RSY1,Arsyunavirus,Peduoviridae
Sanfarnavirus 3,Locarnavirus,Marnaviridae
Pujohnavirus geovivens,Pujohnavirus,Steitzviridae
Salmonella phage vB_STy-RN29,Tequintavirus,Demerecviridae
Sunn-hemp mosaic virus,Tobamovirus,Virgaviridae
Pohlevirus arvadaptatum,Pohlevirus,Fiersviridae
Darnbovirus asiadaptatum,Darnbovirus,Fiersviridae
Epseptimavirus S124,Epseptimavirus,Demerecviridae
Birpovirus hominis,Birpovirus,Suoliviridae
Pigeon aviadenovirus A,Aviadenovirus,Adenoviridae
Orthoebolavirus restonense,Orthoebolavirus,Filoviridae
Alphabaculovirus mavitratae,Alphabaculovirus,Baculoviridae
Chivirus FSLSP030,Chivirus,Casjensviridae
Carnation latent virus,Carlavirus,Betaflexiviridae
Cyclovirus maanav,Cyclovirus,Circoviridae
Mosigvirus JS09,Mosigvirus,Straboviridae
Rogunavirus C119,Rogunavirus,Drexlerviridae
Malvastrum yellow vein Yunnan virus satellite DNA beta,Betasatellite,Tolecusatellitidae
Tsarbombavirus BCP78,Tsarbombavirus,Herelleviridae
Avian metaavulavirus 21,Metaavulavirus,Paramyxoviridae
Kyuri green mottle mosaic virus,Tobamovirus,Virgaviridae
Amalgavirus vaccinii,Amalgavirus,Amalgaviridae
Gemycircularvirus oltre1,Gemycircularvirus,Genomoviridae
Duamitovirus gima4,Duamitovirus,Mitoviridae
Botoulivirus zetabotrytidis,Botoulivirus,Botourmiaviridae
Lyssavirus lleida,Lyssavirus,Rhabdoviridae
Pecentumvirus AG20,Pecentumvirus,Herelleviridae
Phimunavirus nobby,Phimunavirus,Autographiviridae
Bonnellvirus lidtsur,Bonnellvirus,Autographiviridae
Nepovirus pratensis,Nepovirus,Secoviridae
Wanjuvirus PP2,Wanjuvirus,Autographiviridae
Corynebacterium virus P1201,Chunghsingvirus,Zierdtviridae
Duamitovirus gima2,Duamitovirus,Mitoviridae
Mihkrovirus peladaptatum,Mihkrovirus,Fiersviridae
Johnsonvirus frozen,Johnsonvirus,Schitoviridae
Sincthavirus limivicinum,Sincthavirus,Fiersviridae
Duamitovirus azfi1,Duamitovirus,Mitoviridae
Farfantepenaeus duorarum circovirus,Circovirus,Circoviridae
Sclerotinia sclerotiorum ourmia-like virus 4,Penoulivirus,Botourmiaviridae
Tymovirus lycopersici,Tymovirus,Tymoviridae
Barley stripe mosaic virus,Hordeivirus,Virgaviridae
Human mastadenovirus C,Mastadenovirus,Adenoviridae
Emaravirus chrysanthemi,Emaravirus,Fimoviridae
Orthodiscovirus missouriense,Orthodiscovirus,Discoviridae
Cyclovirus namu,Cyclovirus,Circoviridae
Abutilon yellows virus,Crinivirus,Closteroviridae
Human mastadenovirus F,Mastadenovirus,Adenoviridae
Quaranjavirus johnstonense,Quaranjavirus,Orthomyxoviridae
Tepovirus ZoVT,Tepovirus,Betaflexiviridae
Nepovirus oleae,Nepovirus,Secoviridae
Potato spindle tuber viroid,Pospiviroid,Pospiviroidae
Gredihovirus paludicola,Gredihovirus,Steitzviridae
Kyanivirus pelovivens,Kyanivirus,Steitzviridae
Grapevine red blotch virus,Grablovirus,Geminiviridae
Beejeyvirus BJ1,Beejeyvirus,Graaviviridae
Scophrhavirus maximus,Scophrhavirus,Rhabdoviridae
Orthotulasvirus tulasnellae,Orthotulasvirus,Tulasviridae
Alphachrysovirus perseae,Alphachrysovirus,Chrysoviridae
Acidianus two-tailed virus,Bicaudavirus,Bicaudaviridae
Homochaacvirus pescaderoense,Homochaacvirus,Chaacviridae
Waewaevirus limezero,Waewaevirus,Autographiviridae
Aleptorquevirus culic1,Aleptorquevirus,Anelloviridae
Amsacta moorei entomopoxvirus,Betaentomopoxvirus,Poxviridae
Sripuvirus almpiwar,Sripuvirus,Rhabdoviridae
Cabbage leaf curl virus,Begomovirus,Geminiviridae
Warwickvirus tonn,Warwickvirus,Drexlerviridae
Lyssavirus australis,Lyssavirus,Rhabdoviridae
Alphamesonivirus 4,Alphamesonivirus,Mesoniviridae
Thottimvirus thottapalayamense,Thottimvirus,Hantaviridae
Yonseivirus seifer,Yonseivirus,Casjensviridae
Hollyhock leaf crumple virus,Begomovirus,Geminiviridae
Tobacco leaf chlorosis betasatellite,Betasatellite,Tolecusatellitidae
Sulfolobus spindle-shaped virus 5,Alphafusellovirus,Fuselloviridae
Pepper vein yellows virus 5,Polerovirus,Solemoviridae
Chaphamaparvovirus galliform3,Chaphamaparvovirus,Parvoviridae
