Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_040794.1,,"Yasaki,M., Hirano,Y., Uga,H., Hanada,K., Uehara-Ichiki,T., Toda,T., Furuya,H., Fuji,S.I., Uehara,I.T., Fuji,S.",2021-06-01T00:00:00Z,HSP-2,Adonis mosaic virus,Alphacarmovirus,Tombusviridae,ssRNA(+),3991,RefSeq,complete,,,1,"Japan:Saitama, Ogawa",Japan,,Adonis ramosa,,,,"Adonis mosaic virus DNA, complete genome, isolate: HSP-2"
NC_055107.1,,"Vaira,A.M.",2021-06-01T00:00:00Z,Fr220205/9,Freesia sneak ophiovirus,Ophiovirus,Aspiviridae,ssRNA(-),1456,RefSeq,complete,,RNA3,,Italy,Italy,,Freesia,,,,"Freesia sneak virus segment RNA3 coat protein gene, complete cds"
NC_055108.1,,"Zylberberg,M., Van Hemert,C., Dumbacher,J.P., Handel,C.M., Tihan,T., DeRisi,J.L.",2021-06-01T00:00:00Z,,Poecivirus A,Poecivirus,Picornaviridae,ssRNA(+),7653,RefSeq,complete,,,1,USA: Alaska,USA,AK,Poecile atricapillus,,2002-12-02,,"Poecivirus BCCH-449 polyprotein gene, complete cds"
NC_055111.1,,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Shuangao anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),6275,RefSeq,complete,,,1,China,China,,Psychoda alternata,,2013,,"Shuangao Fly Virus 2 strain QSA05 RNA-dependent RNA polymerase (L) gene, partial cds"
NC_055112.1,,"Fauver,J.R., Grubaugh,N.D., Krajacich,B.J., Weger-Lucarelli,J., Lakin,S.M., Fakoli,L.S. Jr., Bolay,F.K., Diclaro,J.W. Jr., Dabire,K.R., Foy,B.D., Brackney,D.E., Ebel,G.D., Stenglein,M.D., Fauver,J.",2021-06-01T00:00:00Z,,Bolahun anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),11672,RefSeq,complete,,,1,Liberia,Liberia,,Anopheles gambiae,pooled insects,2013,,"Bolahun virus variant 2 putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds"
NC_055113.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Odonate peropuvirus,Peropuvirus,Artoviridae,ssRNA(-),6367,RefSeq,complete,,,1,China,China,,Odonata,,2013,,"Hubei rhabdo-like virus 8 strain QTM19395 RNA-dependent RNA polymerase gene, complete cds"
NC_055114.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Hubei peropuvirus,Peropuvirus,Artoviridae,ssRNA(-),8436,RefSeq,complete,,,1,China,China,,Odonata,,2013,,"Hubei rhabdo-like virus 6 strain QTM24798 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds"
NC_055115.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Pillworm peropuvirus,Peropuvirus,Artoviridae,ssRNA(-),7043,RefSeq,complete,,,1,China,China,,Myriapoda,,2013,,"Hubei rhabdo-like virus 5 strain WHSFII19440 RNA-dependent RNA polymerase gene, complete cds"
NC_055117.1,,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),978,RefSeq,complete,,S,,USA: California,USA,CA,Ochlerotatus dorsalis,,1943,,"California encephalitis virus strain BFS 283 segment S, complete sequence"
NC_055118.1,,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4510,RefSeq,complete,,M,,USA: California,USA,CA,Ochlerotatus dorsalis,,1943,,"California encephalitis virus strain BFS 283 segment M, complete sequence"
NC_055119.1,,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6978,RefSeq,complete,,L,,USA: California,USA,CA,Ochlerotatus dorsalis,,1943,,"California encephalitis virus strain BFS 283 segment L, complete sequence"
NC_055120.1,,"Blake,S., Ma,J.Y., Caporale,D.A., Jairath,S., Nicholson,B.L., Ma,J.-Y., Caporale,D., Nicholson,B.",2021-06-01T00:00:00Z,,Tellina virus,Aquabirnavirus,Birnaviridae,dsRNA,2904,RefSeq,complete,,A,1,,,,,,,,"Tellina virus 2 polyprotein mRNA, partial cds"
