Id,Genus
NC_040794.1,Alphacarmovirus
NC_055107.1,Ophiovirus
NC_055108.1,Poecivirus
NC_055111.1,Anphevirus
NC_055112.1,Anphevirus
NC_055113.1,Peropuvirus
NC_055114.1,Peropuvirus
NC_055115.1,Peropuvirus
NC_055117.1,Orthobunyavirus
NC_055118.1,Orthobunyavirus
NC_055119.1,Orthobunyavirus
NC_055120.1,Aquabirnavirus
NC_055125.1,Sogarnavirus
NC_055129.1,Polerovirus
NC_055137.1,Caligrhavirus
NC_055138.1,Caligrhavirus
NC_055143.1,Magoulivirus
NC_055144.1,Scleroulivirus
NC_055145.1,Botoulivirus
NC_055147.1,Orthohantavirus
NC_055156.1,Rabovirus
NC_055159.1,Tottorivirus
NC_055160.1,Rabovirus
NC_055161.1,Ailurivirus
NC_055167.1,Narmovirus
NC_055168.1,Jeilongvirus
NC_055169.1,Cultervirus
NC_055170.1,Reptillovirus
NC_055171.1,Actinovirus
NC_055172.1,Actinovirus
NC_055173.1,Actinovirus
NC_055174.1,Agnathovirus
NC_055175.1,Striavirus
NC_055176.1,Thamnovirus
NC_055177.1,Ampelovirus
NC_055178.1,Orthotospovirus
NC_055179.1,Orthotospovirus
NC_055180.1,Orthotospovirus
NC_055181.1,Orthobunyavirus
NC_055182.1,Orthobunyavirus
NC_055183.1,Orthobunyavirus
NC_055184.1,Orthobunyavirus
NC_055185.1,Orthobunyavirus
NC_055186.1,Orthobunyavirus
NC_055187.1,Pacuvirus
NC_055188.1,Pacuvirus
NC_055189.1,Pacuvirus
NC_055190.1,Sawastrivirus
NC_055191.1,Sawastrivirus
NC_055192.1,Sawastrivirus
NC_055193.1,Orthobunyavirus
NC_055194.1,Orthobunyavirus
NC_055195.1,Orthobunyavirus
NC_055196.1,Orthobunyavirus
NC_055197.1,Orthobunyavirus
NC_055198.1,Orthobunyavirus
NC_055199.1,Orthobunyavirus
NC_055200.1,Orthobunyavirus
NC_055201.1,Orthobunyavirus
NC_055202.1,Shilevirus
NC_055203.1,Shilevirus
NC_055204.1,Shilevirus
NC_055205.1,Orthobunyavirus
NC_055206.1,Orthobunyavirus
NC_055207.1,Orthobunyavirus
NC_055208.1,Dichorhavirus
NC_055209.1,Dichorhavirus
NC_055210.1,Orthobunyavirus
NC_055211.1,Orthobunyavirus
NC_055212.1,Orthobunyavirus
NC_055213.1,Orthophasmavirus
NC_055214.1,Orthophasmavirus
NC_055215.1,Orthophasmavirus
NC_055216.1,Orthonairovirus
NC_055217.1,Orthonairovirus
NC_055218.1,Orthonairovirus
NC_055219.1,Betachrysovirus
NC_055220.1,Betachrysovirus
NC_055221.1,Betachrysovirus
NC_055222.1,Betachrysovirus
NC_055223.1,Betachrysovirus
NC_055224.1,Alphachrysovirus
NC_055225.1,Alphachrysovirus
NC_055226.1,Alphachrysovirus
NC_055227.1,Alphachrysovirus
NC_055236.1,Badnavirus
NC_055237.1,Badnavirus
NC_055238.1,Badnavirus
NC_055239.1,Coltivirus
NC_055240.1,Coltivirus
NC_055241.1,Coltivirus
NC_055242.1,Coltivirus
NC_055243.1,Coltivirus
NC_055244.1,Coltivirus
NC_055245.1,Coltivirus
NC_055246.1,Coltivirus
NC_055247.1,Coltivirus
NC_055248.1,Coltivirus
NC_055249.1,Coltivirus
NC_055250.1,Coltivirus
NC_055251.1,Coltivirus
NC_055252.1,Coltivirus
NC_055253.1,Coltivirus
NC_055254.1,Coltivirus
NC_055255.1,Coltivirus
NC_055256.1,Coltivirus
NC_055257.1,Coltivirus
NC_055258.1,Coltivirus
NC_055259.1,Coltivirus
NC_055260.1,Coltivirus
NC_055261.1,Coltivirus
NC_055262.1,Coltivirus
NC_055263.1,Rotavirus
NC_055264.1,Rotavirus
NC_055265.1,Rotavirus
