"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"1","NC_001265.2","RNA","ssRNA(+)","Carnation mottle virus","Alphacarmovirus dianthi","Alphacarmovirus","Tombusviridae",4003
"2","NC_030882.1","RNA","dsRNA","Fusarium poae virus 1-240374","Fusarium poae virus 1","Betapartitivirus","Partitiviridae",2431
"3","NC_040438.1","RNA","dsRNA","Chicken picobirnavirus","Chicken picobirnavirus","Picobirnavirus","Picobirnaviridae",2532
"4","NC_016964.1","RNA","ssRNA(+)","Canine picornavirus","Mischivirus D","Mischivirus","Picornaviridae",7948
"5","NC_055453.1","DNA","dsDNA","Hyposidra talaca nucleopolyhedrovirus","Alphabaculovirus hytalacae","Alphabaculovirus","Baculoviridae",139089
"6","NC_015220.1","RNA","ssRNA(+)","Grapevine berry inner necrosis virus","Grapevine berry inner necrosis virus","Trichovirus","Betaflexiviridae",7241
"7","NC_048119.1","DNA","dsDNA","Pectobacterium phage Phoria","Phimunavirus phoria","Phimunavirus","Autographiviridae",43825
"8","NC_007966.1","DNA","ssDNA(+/-)","Merremia mosaic virus","Merremia mosaic virus","Begomovirus","Geminiviridae",2492
"9","NC_019813.1","DNA","dsDNA","Pseudomonas phage vB_PaeP_p2-10_Or1","Bruynoghevirus PaP3","Bruynoghevirus","Unknown",44030
"10","NC_036389.1","RNA","ssRNA(+)","Chequa iflavirus","Chequa iflavirus","Unknown","Iflaviridae",9932
"11","NC_035211.1","DNA","ssDNA(+/-)","Human fecal virus Jorvi4","Human fecal virus Jorvi4","Unknown","Circoviridae",2343
"12","NC_001785.1","RNA","ssRNA(+)","Papaya ringspot virus","Papaya ringspot virus","Potyvirus","Potyviridae",10326
"13","NC_031075.1","DNA","dsDNA","Lactococcus phage M5938","Ceduovirus M5938","Ceduovirus","Unknown",22240
"14","NC_044853.1","RNA","ssRNA(+)","Norovirus GI","Norwalk virus","Norovirus","Caliciviridae",7677
"15","NC_001809.1","RNA","ssRNA(+)","Louping ill virus","Orthoflavivirus loupingi","Orthoflavivirus","Flaviviridae",10871
"16","NC_040460.1","RNA","ssRNA(-)","Avalon virus","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae",11827
"17","NC_022967.1","DNA","dsDNA","Pseudomonas phage PAK_P2","Pakpunavirus PAKP2","Pakpunavirus","Unknown",92495
"18","NC_016883.1","RNA","dsRNA","Spissistilus festinus reovirus","Spissistilus festinus reovirus","Unknown","Unknown",1205
"19","NC_018714.1","RNA","ssRNA(+)","Apple green crinkle associated virus","Apple green crinkle associated virus","Foveavirus","Betaflexiviridae",9266
"20","NC_026591.1","DNA","dsDNA","Mycobacterium phage Trike","Mycobacterium phage Trike","Fromanvirus","Unknown",44716
"21","NC_018935.1","DNA","ssDNA","Tobacco leaf chlorosis betasatellite","Tobacco leaf chlorosis betasatellite","Betasatellite","Tolecusatellitidae",1345
"22","NC_043064.1","RNA","ssRNA(-)","Strawberry crinkle virus","Cytorhabdovirus fragariarugosus","Cytorhabdovirus","Rhabdoviridae",1638
"23","NC_032483.1","RNA","RNA","Xingshan nematode virus 1","Xingshan nematode virus 1","Unknown","Unknown",11374
"24","NC_030295.1","RNA","dsRNA","Golden shiner totivirus","Golden shiner totivirus","Unknown","Totiviridae",7788
"25","NC_028943.1","DNA","dsDNA","Escherichia phage pro483","Peduovirus pro483","Peduovirus","Peduoviridae",29237
"26","NC_047721.1","DNA","dsDNA","Staphylococcus phage SA5","Kayvirus G1","Kayvirus","Herelleviridae",137031
"27","NC_008002.1","DNA","dsDNA","Ichnoviriform sonorense","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae",19557
"28","NC_076174.1","DNA","ssDNA(-)","Paguma larvata torque teno virus","Torque teno virus","Unknown","Anelloviridae",2483
"29","NC_027779.1","DNA","dsDNA","Human papillomavirus","Human papillomavirus","Unknown","Papillomaviridae",7320
"30","NC_001463.1","RNA","ssRNA-RT","Caprine arthritis encephalitis virus","Caprine arthritis encephalitis virus","Lentivirus","Retroviridae",9189
"31","NC_078253.1","RNA","ssRNA(-)","Bandia virus","Orthonairovirus bandiaense","Orthonairovirus","Nairoviridae",12139
"32","NC_055637.1","RNA","ssRNA(-)","Orthohantavirus tatenalense","Orthohantavirus tatenalense","Orthohantavirus","Hantaviridae",3355
"33","NC_026612.1","DNA","ssDNA(+)","Uncultured phage WW-nAnB strain 2","Uncultured phage WW-nAnB strain 2","Unknown","Inoviridae",5077
"34","NC_038427.1","RNA","ssRNA(+)","Hepacivirus myodae","Hepacivirus myodae","Hepacivirus","Flaviviridae",9188
"35","NC_001492.1","RNA","ssRNA(+)","Cryphonectria hypovirus 1","Alphahypovirus cryphonectriae","Alphahypovirus","Hypoviridae",12734
"36","NC_035887.1","DNA","ssDNA(+/-)","Tobacco leaf curl Cuba virus","Tobacco leaf curl Cuba virus","Begomovirus","Geminiviridae",2609
"37","NC_055624.1","RNA","dsRNA","Coniothyrium diplodiella chrysovirus 1","Betachrysovirus coniothyrii","Betachrysovirus","Chrysoviridae",2703
