"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"1","NC_001265.2","RNA","ssRNA(+)","Carnation mottle virus","Alphacarmovirus dianthi","Alphacarmovirus","Tombusviridae",4003
"2","NC_030882.1","RNA","dsRNA","Fusarium poae virus 1-240374","Fusarium poae virus 1","Betapartitivirus","Partitiviridae",2431
"3","NC_040438.1","RNA","dsRNA","Chicken picobirnavirus","Chicken picobirnavirus","Picobirnavirus","Picobirnaviridae",2532
"4","NC_016964.1","RNA","ssRNA(+)","Canine picornavirus","Mischivirus D","Mischivirus","Picornaviridae",7948
"5","NC_015220.1","RNA","ssRNA(+)","Grapevine berry inner necrosis virus","Grapevine berry inner necrosis virus","Trichovirus","Betaflexiviridae",7241
"6","NC_036389.1","RNA","ssRNA(+)","Chequa iflavirus","Chequa iflavirus","Unknown","Iflaviridae",9932
"7","NC_001785.1","RNA","ssRNA(+)","Papaya ringspot virus","Papaya ringspot virus","Potyvirus","Potyviridae",10326
"8","NC_044853.1","RNA","ssRNA(+)","Norovirus GI","Norwalk virus","Norovirus","Caliciviridae",7677
"9","NC_001809.1","RNA","ssRNA(+)","Louping ill virus","Orthoflavivirus loupingi","Orthoflavivirus","Flaviviridae",10871
"10","NC_040460.1","RNA","ssRNA(-)","Avalon virus","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae",11827
"11","NC_016883.1","RNA","dsRNA","Spissistilus festinus reovirus","Spissistilus festinus reovirus","Unknown","Unknown",1205
"12","NC_018714.1","RNA","ssRNA(+)","Apple green crinkle associated virus","Apple green crinkle associated virus","Foveavirus","Betaflexiviridae",9266
"13","NC_043064.1","RNA","ssRNA(-)","Strawberry crinkle virus","Cytorhabdovirus fragariarugosus","Cytorhabdovirus","Rhabdoviridae",1638
"14","NC_032483.1","RNA","RNA","Xingshan nematode virus 1","Xingshan nematode virus 1","Unknown","Unknown",11374
"15","NC_030295.1","RNA","dsRNA","Golden shiner totivirus","Golden shiner totivirus","Unknown","Totiviridae",7788
"16","NC_001463.1","RNA","ssRNA-RT","Caprine arthritis encephalitis virus","Caprine arthritis encephalitis virus","Lentivirus","Retroviridae",9189
"17","NC_078253.1","RNA","ssRNA(-)","Bandia virus","Orthonairovirus bandiaense","Orthonairovirus","Nairoviridae",12139
"18","NC_055637.1","RNA","ssRNA(-)","Orthohantavirus tatenalense","Orthohantavirus tatenalense","Orthohantavirus","Hantaviridae",3355
"19","NC_038427.1","RNA","ssRNA(+)","Hepacivirus myodae","Hepacivirus myodae","Hepacivirus","Flaviviridae",9188
"20","NC_001492.1","RNA","ssRNA(+)","Cryphonectria hypovirus 1","Alphahypovirus cryphonectriae","Alphahypovirus","Hypoviridae",12734
"21","NC_055624.1","RNA","dsRNA","Coniothyrium diplodiella chrysovirus 1","Betachrysovirus coniothyrii","Betachrysovirus","Chrysoviridae",2703
"22","NC_028485.1","RNA","dsRNA","Red clover powdery mildew-associated totivirus 5","Red clover powdery mildew-associated totivirus 5","Unknown","Totiviridae",5056
"23","NC_040690.1","RNA","dsRNA","Salvia hispanica RNA virus 1","Salvia hispanica RNA virus 1","Unknown","Amalgaviridae",3406
"24","NC_002187.1","RNA","ssRNA(+)","Japanese iris necrotic ring virus","Betacarmovirus iridis","Betacarmovirus","Tombusviridae",4014
"25","NC_007017.2","RNA","ssRNA(+)","Pelargonium line pattern virus","Pelarspovirus lineapelargonii","Pelarspovirus","Tombusviridae",3883
"26","NC_074280.1","RNA","RNA","ssRNA phage Zoerhiza.1_14","Brikhyavirus terrivicinum","Brikhyavirus","Steitzviridae",3788
"27","NC_040559.1","RNA","ssRNA(+)","Gigaspora margarita mitovirus 3","Duamitovirus gima3","Duamitovirus","Mitoviridae",3387
"28","NC_078926.1","RNA","ssRNA(-)","M'Poko virus","Orthobunyavirus mpokoense","Orthobunyavirus","Peribunyaviridae",4722
"29","NC_019493.1","RNA","dsRNA","Grapevine endophyte alphaendornavirus","Grapevine endophyte alphaendornavirus","Alphaendornavirus","Endornaviridae",12154
"30","NC_008028.1","RNA","ssRNA(+)","Daphne mosaic virus","Daphne mosaic virus","Potyvirus","Potyviridae",9548
"31","NC_074485.1","RNA","RNA","ssRNA phage SRR7976301_11","Sdenfavirus asiovicinum","Sdenfavirus","Steitzviridae",4156
"32","NC_032133.1","RNA","RNA","Beihai barnacle virus 13","Beihai barnacle virus 13","Unknown","Unknown",1493
"33","NC_018702.1","RNA","ssRNA(+)","Murine astrovirus","Murine astrovirus","Unknown","Astroviridae",6838
"34","NC_040458.1","RNA","ssRNA(-)","Avalon virus","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae",1645
"35","NC_025379.2","RNA","ssRNA(+)","Mamastrovirus 3","Mamastrovirus 3","Mamastrovirus","Astroviridae",6705
"36","NC_008171.1","RNA","dsRNA","Micromonas pusilla reovirus","Micromonas pusilla reovirus","Mimoreovirus","Sedoreoviridae",5792
"37","NC_003783.1","RNA","ssRNA(+)","Triatoma virus","Triatovirus triatomae","Triatovirus","Dicistroviridae",9010
