"","Accession","Species","Genus","Family"
"1","NC_001265.2","Alphacarmovirus dianthi","Alphacarmovirus","Tombusviridae"
"2","NC_030882.1","Fusarium poae virus 1","Betapartitivirus","Partitiviridae"
"3","NC_040438.1","Chicken picobirnavirus","Picobirnavirus","Picobirnaviridae"
"4","NC_016964.1","Mischivirus D","Mischivirus","Picornaviridae"
"5","NC_055453.1","Alphabaculovirus hytalacae","Alphabaculovirus","Baculoviridae"
"6","NC_015220.1","Grapevine berry inner necrosis virus","Trichovirus","Betaflexiviridae"
"7","NC_048119.1","Phimunavirus phoria","Phimunavirus","Autographiviridae"
"8","NC_007966.1","Merremia mosaic virus","Begomovirus","Geminiviridae"
"12","NC_001785.1","Papaya ringspot virus","Potyvirus","Potyviridae"
"14","NC_044853.1","Norwalk virus","Norovirus","Caliciviridae"
"15","NC_001809.1","Orthoflavivirus loupingi","Orthoflavivirus","Flaviviridae"
"16","NC_040460.1","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae"
"19","NC_018714.1","Apple green crinkle associated virus","Foveavirus","Betaflexiviridae"
"21","NC_018935.1","Tobacco leaf chlorosis betasatellite","Betasatellite","Tolecusatellitidae"
"22","NC_043064.1","Cytorhabdovirus fragariarugosus","Cytorhabdovirus","Rhabdoviridae"
"25","NC_028943.1","Peduovirus pro483","Peduovirus","Peduoviridae"
"26","NC_047721.1","Kayvirus G1","Kayvirus","Herelleviridae"
"27","NC_008002.1","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae"
"30","NC_001463.1","Caprine arthritis encephalitis virus","Lentivirus","Retroviridae"
"31","NC_078253.1","Orthonairovirus bandiaense","Orthonairovirus","Nairoviridae"
"32","NC_055637.1","Orthohantavirus tatenalense","Orthohantavirus","Hantaviridae"
"34","NC_038427.1","Hepacivirus myodae","Hepacivirus","Flaviviridae"
"35","NC_001492.1","Alphahypovirus cryphonectriae","Alphahypovirus","Hypoviridae"
"36","NC_035887.1","Tobacco leaf curl Cuba virus","Begomovirus","Geminiviridae"
"37","NC_055624.1","Betachrysovirus coniothyrii","Betachrysovirus","Chrysoviridae"
"38","NC_049501.1","Kuttervirus allotria","Kuttervirus","Ackermannviridae"
"42","NC_038965.1","Tomato chlorotic mottle Guyane virus","Begomovirus","Geminiviridae"
"45","NC_014380.1","Melon chlorotic mosaic virus","Begomovirus","Geminiviridae"
"47","NC_002187.1","Betacarmovirus iridis","Betacarmovirus","Tombusviridae"
"48","NC_007017.2","Pelarspovirus lineapelargonii","Pelarspovirus","Tombusviridae"
"50","NC_028983.1","Siminovitchvirus shanette","Siminovitchvirus","Herelleviridae"
"51","NC_074280.1","Brikhyavirus terrivicinum","Brikhyavirus","Steitzviridae"
"53","NC_055619.1","Sophora yellow stunt virus","Nanovirus","Nanoviridae"
"54","NC_040559.1","Duamitovirus gima3","Duamitovirus","Mitoviridae"
"55","NC_078926.1","Orthobunyavirus mpokoense","Orthobunyavirus","Peribunyaviridae"
"56","NC_019493.1","Grapevine endophyte alphaendornavirus","Alphaendornavirus","Endornaviridae"
"57","NC_076378.1","Gemycircularvirus gopha1","Gemycircularvirus","Genomoviridae"
"59","NC_077077.1","Heliosvirus raunefjordenense","Heliosvirus","Allomimiviridae"
"60","NC_048827.1","Kujavirus kuja","Kujavirus","Ackermannviridae"
"62","NC_008028.1","Daphne mosaic virus","Potyvirus","Potyviridae"
"63","NC_074485.1","Sdenfavirus asiovicinum","Sdenfavirus","Steitzviridae"
"64","NC_019417.1","Chivirus SPN19","Chivirus","Casjensviridae"
"67","NC_040458.1","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae"
"68","NC_031271.1","Zindervirus BP12B","Zindervirus","Autographiviridae"
"69","NC_012041.1","Bhendi yellow vein Bhubhaneswar virus","Begomovirus","Geminiviridae"
"70","NC_015503.1","Badnavirus zetavirgamusae","Badnavirus","Caulimoviridae"
"71","NC_025379.2","Mamastrovirus 3","Mamastrovirus","Astroviridae"
"72","NC_008171.1","Micromonas pusilla reovirus","Mimoreovirus","Sedoreoviridae"
"73","NC_001396.1","Coriovirus Cf1c","Coriovirus","Inoviridae"
"74","NC_038908.1","Faba bean yellow leaf virus","Nanovirus","Nanoviridae"
"75","NC_003783.1","Triatovirus triatomae","Triatovirus","Dicistroviridae"
"76","NC_021312.1","Phaeocystis globosa virus","Prymnesiovirus","Phycodnaviridae"
"78","NC_038486.1","Gemycircularvirus ptero3","Gemycircularvirus","Genomoviridae"
"80","NC_033729.1","Phomosis penoulivirus","Penoulivirus","Botourmiaviridae"
