"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"1","NC_055453.1","DNA","dsDNA","Hyposidra talaca nucleopolyhedrovirus","Alphabaculovirus hytalacae","Alphabaculovirus","Baculoviridae",139089
"2","NC_048119.1","DNA","dsDNA","Pectobacterium phage Phoria","Phimunavirus phoria","Phimunavirus","Autographiviridae",43825
"3","NC_007966.1","DNA","ssDNA(+/-)","Merremia mosaic virus","Merremia mosaic virus","Begomovirus","Geminiviridae",2492
"4","NC_019813.1","DNA","dsDNA","Pseudomonas phage vB_PaeP_p2-10_Or1","Bruynoghevirus PaP3","Bruynoghevirus","Unknown",44030
"5","NC_035211.1","DNA","ssDNA(+/-)","Human fecal virus Jorvi4","Human fecal virus Jorvi4","Unknown","Circoviridae",2343
"6","NC_031075.1","DNA","dsDNA","Lactococcus phage M5938","Ceduovirus M5938","Ceduovirus","Unknown",22240
"7","NC_022967.1","DNA","dsDNA","Pseudomonas phage PAK_P2","Pakpunavirus PAKP2","Pakpunavirus","Unknown",92495
"8","NC_026591.1","DNA","dsDNA","Mycobacterium phage Trike","Mycobacterium phage Trike","Fromanvirus","Unknown",44716
"9","NC_018935.1","DNA","ssDNA","Tobacco leaf chlorosis betasatellite","Tobacco leaf chlorosis betasatellite","Betasatellite","Tolecusatellitidae",1345
"10","NC_028943.1","DNA","dsDNA","Escherichia phage pro483","Peduovirus pro483","Peduovirus","Peduoviridae",29237
"11","NC_047721.1","DNA","dsDNA","Staphylococcus phage SA5","Kayvirus G1","Kayvirus","Herelleviridae",137031
"12","NC_008002.1","DNA","dsDNA","Ichnoviriform sonorense","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae",19557
"13","NC_076174.1","DNA","ssDNA(-)","Paguma larvata torque teno virus","Torque teno virus","Unknown","Anelloviridae",2483
"14","NC_027779.1","DNA","dsDNA","Human papillomavirus","Human papillomavirus","Unknown","Papillomaviridae",7320
"15","NC_026612.1","DNA","ssDNA(+)","Uncultured phage WW-nAnB strain 2","Uncultured phage WW-nAnB strain 2","Unknown","Inoviridae",5077
